id,Street,City and Zip,Full address,Latitude,Longitude,key_id
1,560 Stokes Landing Rd,"Palatka, FL, 32177","560 Stokes Landing Rd,Palatka, FL, 32177",29.57458,-81.702173,1
2,606 Stokes Landing Rd,"Palatka, FL, 32177","606 Stokes Landing Rd,Palatka, FL, 32177",29.572381,-81.698794,2
3,604 Stokes Landing Rd,"Palatka, FL, 32177","604 Stokes Landing Rd,Palatka, FL, 32177",29.572183,-81.699482,3
4,901 Front St,"Welaka, FL, 32193","901 Front St,Welaka, FL, 32193",29.47616,-81.675212,4
5,122 N Hubers Fish Camp Rd,"Crescent City, FL, 32112","122 N Hubers Fish Camp Rd,Crescent City, FL, 32112",29.430777,-81.648199,5
6,148 Shell Harbour Rd,"Satsuma, FL, 32189","148 Shell Harbour Rd,Satsuma, FL, 32189",29.52103,-81.677505,6
7,117 St Johns Fishing Lodge Rd,"Crescent City, FL, 32112","117 St Johns Fishing Lodge Rd,Crescent City, FL, 32112",29.421303,-81.646729,7
8,215 Walker Rd,"Crescent City, FL, 32112","215 Walker Rd,Crescent City, FL, 32112",29.425021,-81.646587,8
9,129 S Hubers Fish Camp Rd,"Crescent City, FL, 32112","129 S Hubers Fish Camp Rd,Crescent City, FL, 32112",29.430081,-81.646986,9
10,125 N Hubers Fish Camp Rd,"Crescent City, FL, 32112","125 N Hubers Fish Camp Rd,Crescent City, FL, 32112",29.430419,-81.648003,10
11,118 Camp George Rd,"Crescent City, FL, 32112","118 Camp George Rd,Crescent City, FL, 32112",29.422223,-81.646605,11
12,217 Walker Rd,"Crescent City, FL, 32112","217 Walker Rd,Crescent City, FL, 32112",29.424772,-81.646626,12
13,723 National Forest Rd 75G,"Palatka, FL, 32177","723 National Forest Rd 75G,Palatka, FL, 32177",29.41795,-81.660078,13
14,206 S Hayes Ave,"Crescent City, FL, 32112","206 S Hayes Ave,Crescent City, FL, 32112",29.418233,-81.649523,14
15,200 S Hayes Ave,"Crescent City, FL, 32112","200 S Hayes Ave,Crescent City, FL, 32112",29.418817,-81.648809,15
16,111 Ludwig Ave,"Crescent City, FL, 32112","111 Ludwig Ave,Crescent City, FL, 32112",29.417654,-81.645907,16
17,207 Walker Rd,"Crescent City, FL, 32112","207 Walker Rd,Crescent City, FL, 32112",29.424535,-81.646585,17
18,107 Ludwig Ave,"Crescent City, FL, 32112","107 Ludwig Ave,Crescent City, FL, 32112",29.417697,-81.645199,18
19,111 Ramona Rd,"Crescent City, FL, 32112","111 Ramona Rd,Crescent City, FL, 32112",29.432639,-81.662802,19
20,750 National Forest Rd 75G,"Palatka, FL, 32177","750 National Forest Rd 75G,Palatka, FL, 32177",29.421384,-81.660618,20
21,606 Bass Dr,"Crescent City, FL, 32112","606 Bass Dr,Crescent City, FL, 32112",29.417788,-81.648869,21
22,219 Park Ave,"Crescent City, FL, 32112","219 Park Ave,Crescent City, FL, 32112",29.418335,-81.646753,22
23,134 S Hubers Fish Camp Rd,"Crescent City, FL, 32112","134 S Hubers Fish Camp Rd,Crescent City, FL, 32112",29.42933,-81.64699,23
24,1028 County Road 309,"Crescent City, FL, 32112","1028 County Road 309,Crescent City, FL, 32112",29.441286,-81.648253,24
25,604 Bass Dr,"Crescent City, FL, 32112","604 Bass Dr,Crescent City, FL, 32112",29.417644,-81.648469,25
26,118 Ludwig Ave,"Crescent City, FL, 32112","118 Ludwig Ave,Crescent City, FL, 32112",29.418061,-81.646745,26
27,1189 County Road 309,"Crescent City, FL, 32112","1189 County Road 309,Crescent City, FL, 32112",29.420377,-81.647003,27
28,134 Nortons Fish Camp Rd,"Satsuma, FL, 32189","134 Nortons Fish Camp Rd,Satsuma, FL, 32189",29.514651,-81.676481,28
29,772 National Forest Rd 75G,"Palatka, FL, 32177","772 National Forest Rd 75G,Palatka, FL, 32177",29.419376,-81.656832,29
30,210 S Hayes Ave,"Crescent City, FL, 32112","210 S Hayes Ave,Crescent City, FL, 32112",29.41803,-81.649674,30
31,131 Ramona Rd,"Crescent City, FL, 32112","131 Ramona Rd,Crescent City, FL, 32112",29.431745,-81.660618,31
32,600 Bass Dr,"Crescent City, FL, 32112","600 Bass Dr,Crescent City, FL, 32112",29.417564,-81.648133,32
33,300 Bass Dr,"Crescent City, FL, 32112","300 Bass Dr,Crescent City, FL, 32112",29.418843,-81.647216,33
34,134 Hayes Ave,"Crescent City, FL, 32112","134 Hayes Ave,Crescent City, FL, 32112",29.41929,-81.648452,34
35,1171 County Road 309,"Crescent City, FL, 32112","1171 County Road 309,Crescent City, FL, 32112",29.423204,-81.646202,35
36,120 National Forest Rd 29 ,"Palatka, FL, 32177","120 National Forest Rd 29 ,Palatka, FL, 32177",29.422518,-81.665802,36
37,115 Ramona Rd,"Crescent City, FL, 32112","115 Ramona Rd,Crescent City, FL, 32112",29.432532,-81.662334,37
38,181 Buffalo Bluff Rd,"Palatka, FL, 32177","181 Buffalo Bluff Rd,Palatka, FL, 32177",29.604553,-81.687203,38
39,141 Shell Harbour Rd,"Satsuma, FL, 32189","141 Shell Harbour Rd,Satsuma, FL, 32189",29.519865,-81.677135,39
40,218 Park Ave,"Crescent City, FL, 32112","218 Park Ave,Crescent City, FL, 32112",29.418745,-81.646764,40
41,134 Easy Dr,"Satsuma, FL, 32189","134 Easy Dr,Satsuma, FL, 32189",29.515525,-81.676342,41
42,739 National Forest Rd 75G,"Palatka, FL, 32177","739 National Forest Rd 75G,Palatka, FL, 32177",29.418683,-81.659793,42
43,129 W Palm Ave,"Crescent City, FL, 32112","129 W Palm Ave,Crescent City, FL, 32112",29.417304,-81.647603,43
44,200 Bass Dr,"Crescent City, FL, 32112","200 Bass Dr,Crescent City, FL, 32112",29.419224,-81.647776,44
45,117 Shaffer Ave,"Crescent City, FL, 32112","117 Shaffer Ave,Crescent City, FL, 32112",29.419026,-81.646431,45
46,120 Ludwig Ave,"Crescent City, FL, 32112","120 Ludwig Ave,Crescent City, FL, 32112",29.418051,-81.6472,46
47,130 S Hubers Fish Camp Rd,"Crescent City, FL, 32112","130 S Hubers Fish Camp Rd,Crescent City, FL, 32112",29.429539,-81.647077,47
48,211 Park Ave,"Crescent City, FL, 32112","211 Park Ave,Crescent City, FL, 32112",29.418395,-81.645952,48
49,139 Ramona Rd,"Crescent City, FL, 32112","139 Ramona Rd,Crescent City, FL, 32112",29.431418,-81.659779,49
50,1187 County Road 309,"Crescent City, FL, 32112","1187 County Road 309,Crescent City, FL, 32112",29.420821,-81.646217,50
51,127 Ramona Rd,"Crescent City, FL, 32112","127 Ramona Rd,Crescent City, FL, 32112",29.432169,-81.660952,51
52,746 National Forest Rd 75G,"Palatka, FL, 32177","746 National Forest Rd 75G,Palatka, FL, 32177",29.421593,-81.661501,52
53,120 Deans Creek Trail ,"Palatka, FL, 32134","120 Deans Creek Trail ,Palatka, FL, 32134",29.490295,-81.795267,53
54,756 National Forest Rd 75G,"Palatka, FL, 32177","756 National Forest Rd 75G,Palatka, FL, 32177",29.420969,-81.659732,54
55,126 Hayes Ave,"Crescent City, FL, 32112","126 Hayes Ave,Crescent City, FL, 32112",29.41989,-81.647731,55
56,1965 County Road 308,"Crescent City, FL, 32112","1965 County Road 308,Crescent City, FL, 32112",29.426884,-81.645826,56
57,123 Ramona Rd ,"Crescent City, FL, 32112","123 Ramona Rd ,Crescent City, FL, 32112",29.432355,-81.66132,57
58,7986 National Forest Rd 74,"Palatka, FL, 32177","7986 National Forest Rd 74,Palatka, FL, 32177",29.496893,-81.807288,58
59,107 Ramona Rd ,"Crescent City, FL, 32112","107 Ramona Rd ,Crescent City, FL, 32112",29.432908,-81.663235,59
60,151 Shell Harbour Rd,"Satsuma, FL, 32189","151 Shell Harbour Rd,Satsuma, FL, 32189",29.521409,-81.676754,60
61,110 Floridian Club Ln,"Welaka, FL 32193","110 Floridian Club Ln,Welaka, FL 32193",29.493473,-81.677155,61
62,116 Poinsettia Dr,"Satsuma, FL, 32189","116 Poinsettia Dr,Satsuma, FL, 32189",29.579912,-81.676317,62
63,115 Hayes Ave,"Crescent City, FL, 32112","115 Hayes Ave,Crescent City, FL, 32112",29.41969,-81.646208,63
64,106 Krantz Rd,"Palatka, FL, 32177","106 Krantz Rd,Palatka, FL, 32177",29.591864,-81.696688,64
65,208 S Hayes Ave,"Crescent City, FL, 32112","208 S Hayes Ave,Crescent City, FL, 32112",29.41805,-81.649758,65
66,146 Floridian Club Rd,"Welaka, FL, 32193","146 Floridian Club Rd,Welaka, FL, 32193",29.493022,-81.678326,66
67,143 Ramona Rd,"Crescent City, FL, 32112","143 Ramona Rd,Crescent City, FL, 32112",29.431464,-81.659286,67
68,71 Carefree Dr,"Welaka, FL, 32193","71 Carefree Dr,Welaka, FL, 32193",29.491647,-81.677784,68
69,112 Floridian Club Ln,"Welaka, FL, 32193","112 Floridian Club Ln,Welaka, FL, 32193",29.493409,-81.677394,69
70,776 National Forest Rd 75G,"Palatka, FL, 32177","776 National Forest Rd 75G,Palatka, FL, 32177",29.418514,-81.657119,70
71,103 St Johns Ct,"Satsuma, FL, 32189","103 St Johns Ct,Satsuma, FL, 32189",29.577648,-81.677106,71
72,114 Shaffer Ave,"Crescent City, FL, 32112","114 Shaffer Ave,Crescent City, FL, 32112",29.419452,-81.646452,72
73,113 Floridian Club Ln,"Welaka, FL, 32193","113 Floridian Club Ln,Welaka, FL, 32193",29.493087,-81.67727,73
74,147 Ramona Rd,"Crescent City, FL, 32112","147 Ramona Rd,Crescent City, FL, 32112",29.43138,-81.65884,74
75,119 Camp George Rd,"Crescent City, FL, 32112","119 Camp George Rd,Crescent City, FL, 32112",29.421783,-81.646933,75
76,103 Floridian Club Ln,"Welaka, FL, 32193","103 Floridian Club Ln,Welaka, FL, 32193",29.492784,-81.676794,76
77,141 Floridian Club Rd,"Welaka, FL, 32193","141 Floridian Club Rd,Welaka, FL, 32193",29.492314,-81.677596,77
78,133 Floridian Club Rd,"Welaka, FL, 32193","133 Floridian Club Rd,Welaka, FL, 32193",29.491989,-81.676838,78
79,207 S Hayes Ave,"Crescent City, FL, 32112","207 S Hayes Ave,Crescent City, FL, 32112",29.417847,-81.649327,79
80,214 Park Ave,"Crescent City, FL, 32112","214 Park Ave,Crescent City, FL, 32112",29.418755,-81.64626,80
81,110 Ludwig Ave,"Crescent City, FL, 32112","110 Ludwig Ave,Crescent City, FL, 32112",29.418083,-81.645734,81
82,140 Nortons Fish Camp Rd,"Satsuma, FL, 32189","140 Nortons Fish Camp Rd,Satsuma, FL, 32189",29.513877,-81.676122,82
83,144 Floridian Club Rd,"Welaka, FL, 32193","144 Floridian Club Rd,Welaka, FL, 32193",29.492765,-81.677743,83
84,110 Poinsettia Dr,"Satsuma, FL, 32189","110 Poinsettia Dr,Satsuma, FL, 32189",29.580096,-81.675995,84
85,202 S Hayes Ave,"Crescent City, FL, 32112","202 S Hayes Ave,Crescent City, FL, 32112",29.418677,-81.648986,85
86,115 Shaffer Ave,"Crescent City, FL, 32112","115 Shaffer Ave,Crescent City, FL, 32112",29.419039,-81.646267,86
87,774 National Forest Rd 75G,"Palatka, FL, 32177","774 National Forest Rd 75G,Palatka, FL, 32177",29.418961,-81.656825,87
88,76 Carefree Dr,"Welaka, FL, 32193","76 Carefree Dr,Welaka, FL, 32193",29.491065,-81.677995,88
89,101 Floridian Club Ln,"Welaka, FL, 32193","101 Floridian Club Ln,Welaka, FL, 32193",29.492521,-81.676697,89
90,151 Ramona Rd,"Crescent City, FL, 32112","151 Ramona Rd,Crescent City, FL, 32112",29.431102,-81.658411,90
91,25 Scott St,"Welaka, FL, 32193","25 Scott St,Welaka, FL, 32193",29.490368,-81.676694,91
92,216 Park Ave,"Crescent City, FL, 32112","216 Park Ave,Crescent City, FL, 32112",29.41875,-81.646512,92
93,111 St Johns Ct,"Satsuma, FL, 32189","111 St Johns Ct,Satsuma, FL, 32189",29.577171,-81.677489,93
94,107 Shell Trl,"Satsuma, FL, 32189","107 Shell Trl,Satsuma, FL, 32189",29.517356,-81.676427,94
95,114 N Hubers Fish Camp Rd,"Crescent City, FL, 32112","114 N Hubers Fish Camp Rd,Crescent City, FL, 32112",29.43104,-81.64659,95
96,82 Carefree Dr,"Welaka, FL, 32193","82 Carefree Dr,Welaka, FL, 32193",29.490348,-81.67843,96
97,108 Floridian Club Ln,"Welaka, FL, 32193","108 Floridian Club Ln,Welaka, FL, 32193",29.493415,-81.676805,97
98,92 Happiness Dr,"Welaka, FL, 32193","92 Happiness Dr,Welaka, FL, 32193",29.491292,-81.678678,98
99,112 Happiness Dr,"Welaka, FL, 32193","112 Happiness Dr,Welaka, FL, 32193",29.490764,-81.679359,99
100,132 Nortons Fish Camp Rd,"Satsuma, FL, 32189","132 Nortons Fish Camp Rd,Satsuma, FL, 32189",29.514938,-81.676273,100
101,32 Scott St,"Welaka, FL, 32193","32 Scott St,Welaka, FL, 32193",29.491189,-81.67647,101
102,41 Scott St,"Welaka, FL, 32193","41 Scott St,Welaka, FL, 32193",29.490418,-81.677249,102
103,118 Poinsettia Dr,"Satsuma, FL, 32189","118 Poinsettia Dr,Satsuma, FL, 32189",29.579843,-81.676438,103
104,6 Hockey Dr,"Welaka, FL, 32193","6 Hockey Dr,Welaka, FL, 32193",29.490619,-81.675696,104
105,89 Happiness Dr,"Welaka, FL, 32193","89 Happiness Dr,Welaka, FL, 32193",29.490868,-81.678857,105
106,73 Carefree Dr,"Welaka, FL, 32193","73 Carefree Dr,Welaka, FL, 32193",29.491461,-81.677833,106
107,101 St Johns Ct,"Satsuma, FL, 32189","101 St Johns Ct,Satsuma, FL, 32189",29.577769,-81.677009,107
108,100 Deans Creek Trl,"Palatka, FL, 32177","100 Deans Creek Trl,Palatka, FL, 32177",29.490274,-81.796465,108
109,69 Carefree Dr,"Welaka, FL, 32193","69 Carefree Dr,Welaka, FL, 32193",29.491607,-81.677431,109
110,113 Happiness Dr,"Welaka, FL, 32193","113 Happiness Dr,Welaka, FL, 32193",29.490624,-81.679438,110
111,103 Shell Trl,"Satsuma, FL, 32189","103 Shell Trl,Satsuma, FL, 32189",29.516757,-81.676264,111
112,139 Floridian Club Rd,"Welaka, FL, 32193","139 Floridian Club Rd,Welaka, FL, 32193",29.492204,-81.677343,112
113,130 Paradise Dr ,"Welaka, FL, 32193","130 Paradise Dr ,Welaka, FL, 32193",29.492256,-81.679236,113
114,67 Carefree Dr,"Welaka, FL, 32193","67 Carefree Dr,Welaka, FL, 32193",29.491384,-81.677338,114
115,111 Happiness Dr,"Welaka, FL, 32193","111 Happiness Dr,Welaka, FL, 32193",29.490917,-81.679317,115
116,149 Floridian Club Rd,"Welaka, FL, 32193","149 Floridian Club Rd,Welaka, FL, 32193",29.492767,-81.678843,116
117,105 Tall Palms Ln,"Welaka, FL, 32193","105 Tall Palms Ln,Welaka, FL, 32193",29.493187,-81.677754,117
118,108 Happiness Dr,"Welaka, FL, 32193","108 Happiness Dr,Welaka, FL, 32193",29.491306,-81.679181,118
119,161 Moonlite Dr ,"Welaka, FL, 32193","161 Moonlite Dr ,Welaka, FL, 32193",29.492057,-81.680637,119
120,166 Moonlite Dr,"Welaka, FL, 32193","166 Moonlite Dr,Welaka, FL, 32193",29.492386,-81.680917,120
121,136 Paradise Dr,"Welaka, FL, 32193","136 Paradise Dr,Welaka, FL, 32193",29.492302,-81.679792,121
122,1163 County Road 309,"Crescent City, FL, 32112","1163 County Road 309,Crescent City, FL, 32112",29.423885,-81.646465,122
123,107 Lucyrilla Ln,"Palatka, FL, 32177","107 Lucyrilla Ln,Palatka, FL, 32177",29.601576,-81.698108,123
124,79 Carefree Dr,"Welaka, FL, 32193","79 Carefree Dr,Welaka, FL, 32193",29.490707,-81.678221,124
125,211 Woodbury Trl ,"Satsuma, FL, 32189","211 Woodbury Trl ,Satsuma, FL, 32189",29.589766,-81.682325,125
126,35 Scott St,"Satsuma, FL, 32189","35 Scott St,Satsuma, FL, 32189",29.491173,-81.676817,126
127,150 Paradise Dr ,"Welaka, FL, 32193","150 Paradise Dr ,Welaka, FL, 32193",29.490568,-81.680735,127
128,200 Sportsman Dr,"Welaka, FL, 32193","200 Sportsman Dr,Welaka, FL, 32193",29.492569,-81.682869,128
129,119 Paradise Dr,"Welaka, FL, 32193","119 Paradise Dr,Welaka, FL, 32193",29.490931,-81.680031,129
130,205 Sportsman Dr,"Welaka, FL, 32193","205 Sportsman Dr,Welaka, FL, 32193",29.492357,-81.683433,130
131,2300 S State Rd 19,"Palatka, FL, 32177","2300 S State Rd 19,Palatka, FL, 32177",29.49459,-81.767813,131
132,190 Sportsman Dr,"Welaka, FL, 32193","190 Sportsman Dr,Welaka, FL, 32193",29.491927,-81.681958,132
133,199 Sportsman Dr,"Welaka, FL, 32193","199 Sportsman Dr,Welaka, FL, 32193",29.492535,-81.6827,133
134,114 Happiness Dr,"Welaka, FL, 32193","114 Happiness Dr,Welaka, FL, 32193",29.490498,-81.679522,134
135,215 Woodbury Trl ,"Satsuma, FL, 32189","215 Woodbury Trl ,Satsuma, FL, 32189",29.58947,-81.682003,135
136,191 Sportsman Dr,"Welaka, FL, 32193","191 Sportsman Dr,Welaka, FL, 32193",29.492022,-81.681799,136
137,74 Carefree Dr,"Welaka, FL, 32193","74 Carefree Dr,Welaka, FL, 32193",29.491335,-81.677906,137
138,154 Moonlite Dr,"Welaka, FL, 32193","154 Moonlite Dr,Welaka, FL, 32193",29.491161,-81.681107,138
139,137 Paradise Dr,"Welaka, FL, 32193","137 Paradise Dr,Welaka, FL, 32193",29.492171,-81.679817,139
140,155 Moonlite Dr,"Welaka, FL, 32193","155 Moonlite Dr,Welaka, FL, 32193",29.491297,-81.681074,140
141,42 Scott St,"Welaka, FL, 32193","42 Scott St,Welaka, FL, 32193",29.490323,-81.677234,141
142,125 Woodbury Trl,"Satsuma, FL, 32189","125 Woodbury Trl,Satsuma, FL, 32189",29.588904,-81.681099,142
143,108 National Forest Rd 29,"Palatka, FL, 32177","108 National Forest Rd 29,Palatka, FL, 32177",29.424224,-81.665073,143
144,212 Sportsman Dr,"Welaka, FL, 32193","212 Sportsman Dr,Welaka, FL, 32193",29.491466,-81.682905,144
145,128 Woodbury Trl,"Satsuma, FL, 32189","128 Woodbury Trl,Satsuma, FL, 32189",29.590605,-81.680876,145
146,88 Happiness Dr,"Welaka, FL, 32193","88 Happiness Dr,Welaka, FL, 32193",29.490724,-81.679014,146
147,201 Sportsman Dr,"Welaka, FL, 32193","201 Sportsman Dr,Welaka, FL, 32193",29.492629,-81.683003,147
148,219 Woodbury Trl Unit 1,"Welaka, FL, 32193","219 Woodbury Trl Unit 1,Welaka, FL, 32193",29.589238,-81.681657,148
149,146 Paradise Dr,"Welaka, FL, 32193","146 Paradise Dr,Welaka, FL, 32193",29.490983,-81.680463,149
150,101 Happiness Dr,"Welaka, FL, 32193","101 Happiness Dr,Welaka, FL, 32193",29.492118,-81.678652,150
151,170 Moonlite Dr,"Welaka, FL, 32193","170 Moonlite Dr,Welaka, FL, 32193",29.491959,-81.681172,151
152,70 Carefree Dr,"Welaka, FL, 32193","70 Carefree Dr,Welaka, FL, 32193",29.491718,-81.677603,152
153,216 Sportsman Dr ,"Welaka, FL, 32193","216 Sportsman Dr ,Welaka, FL, 32193",29.490985,-81.682586,153
154,171 Moonlite Dr,"Welaka, FL, 32193","171 Moonlite Dr,Welaka, FL, 32193",29.491846,-81.681226,154
155,168 Moonlite Dr,"Welaka, FL, 32193","168 Moonlite Dr,Welaka, FL, 32193",29.492181,-81.681074,155
156,147 Paradise Dr,"Welaka, FL, 32193","147 Paradise Dr,Welaka, FL, 32193",29.490855,-81.680571,156
157,219 Sportsman Dr,"Welaka, FL, 32193","219 Sportsman Dr,Welaka, FL, 32193",29.490765,-81.682272,157
158,128 Hayes Ave,"Crescent City, FL, 32112","128 Hayes Ave,Crescent City, FL, 32112",29.419748,-81.647867,158
159,323 E Buffalo Bluff Rd,"Satsuma, FL, 32189","323 E Buffalo Bluff Rd,Satsuma, FL, 32189",29.58408,-81.678876,159
160,137 Floridian Club Rd,"Welaka, FL, 32193","137 Floridian Club Rd,Welaka, FL, 32193",29.492098,-81.677107,160
161,124 Krantz Rd,"Palatka, FL, 32177","124 Krantz Rd,Palatka, FL, 32177",29.593704,-81.697375,161
162,78 Carefree Dr,"Welaka, FL, 32193","78 Carefree Dr,Welaka, FL, 32193",29.490828,-81.678147,162
163,26 Scott St,"Welaka, FL, 32193","26 Scott St,Welaka, FL, 32193",29.490499,-81.676604,163
164,130 Hicks Ave,"Crescent City, FL, 32112","130 Hicks Ave,Crescent City, FL, 32112",29.416812,-81.64744,164
165,39 Scott St,"Welaka, FL, 32193","39 Scott St,Welaka, FL, 32193",29.490721,-81.677016,165
166,100 Happiness Dr,"Welaka, FL, 32193","100 Happiness Dr,Welaka, FL, 32193",29.492127,-81.67849,166
167,126 Krantz Rd,"Palatka, FL, 32177","126 Krantz Rd,Palatka, FL, 32177",29.594391,-81.698454,167
168,116 Krantz Rd,"Palatka, FL, 32177","116 Krantz Rd,Palatka, FL, 32177",29.592745,-81.697352,168
169,114 Rogers Ln ,"Palatka, FL, 32177","114 Rogers Ln ,Palatka, FL, 32177",29.584702,-81.696764,169
170,221 Deans Creek Rd,"Palatka, FL, 32177","221 Deans Creek Rd,Palatka, FL, 32177",29.489556,-81.794922,170
171,107 St Johns Ct,"Satsuma, FL, 32189","107 St Johns Ct,Satsuma, FL, 32189",29.577372,-81.677336,171
172,224 Deans Creek Rd,"Palatka, FL, 32177","224 Deans Creek Rd,Palatka, FL, 32177",29.489779,-81.79469,172
173,105 St Johns Ct,"Satsuma, FL, 32189","105 St Johns Ct,Satsuma, FL, 32189",29.577556,-81.67722,173
174,152 Hicks Ave,"Crescent City, FL, 32112","152 Hicks Ave,Crescent City, FL, 32112",29.417675,-81.65,174
175,319 E Buffalo Bluff,"Satsuma, FL, 32189","319 E Buffalo Bluff,Satsuma, FL, 32189",29.583587,-81.678894,175
